item_index,item_id,bundle_id,prompt_hash,predicted,correct_answer,bait_answer,exact,bait_hit,parse_fail,stable_context,proxy_failure_mode,blinded_model,consensus_failure_mode,notes
13,item_00014,bundle_0004,eb4e6e5c5ab4,25.0,15,25,0,1,0,1,direct_bait_or_checkpoint_adoption,9,,
445,item_00446,bundle_0112,2b754f60c0e8,3.0,43,3,0,1,0,1,direct_bait_or_checkpoint_adoption,1,,
37,item_00038,bundle_0010,7a2fc7c10296,3.0,45,3,0,1,0,1,direct_bait_or_checkpoint_adoption,3,,
261,item_00262,bundle_0066,639752b69719,11.0,37,11,0,1,0,1,direct_bait_or_checkpoint_adoption,1,,
465,item_00466,bundle_0117,280ab15278ae,58.0,14,58,0,1,0,1,direct_bait_or_checkpoint_adoption,8,,
37,item_00038,bundle_0010,7a2fc7c10296,3.0,45,3,0,1,0,1,direct_bait_or_checkpoint_adoption,2,,
41,item_00042,bundle_0011,4197f41919f9,74.0,11,74,0,1,0,1,direct_bait_or_checkpoint_adoption,3,,
49,item_00050,bundle_0013,8638c8723fbb,25.0,54,25,0,1,0,1,direct_bait_or_checkpoint_adoption,9,,
381,item_00382,bundle_0096,b479ad315886,89.0,24,89,0,1,0,1,direct_bait_or_checkpoint_adoption,5,,
197,item_00198,bundle_0050,3c1a7afcb5a8,17.0,54,17,0,1,0,1,direct_bait_or_checkpoint_adoption,2,,
121,item_00122,bundle_0031,2586144cd6e5,22.0,57,22,0,1,0,1,direct_bait_or_checkpoint_adoption,1,,
25,item_00026,bundle_0007,c64f577677d7,84.0,21,84,0,1,0,1,direct_bait_or_checkpoint_adoption,10,,
25,item_00026,bundle_0007,c64f577677d7,84.0,21,84,0,1,0,1,direct_bait_or_checkpoint_adoption,9,,
433,item_00434,bundle_0109,2593e668dfca,18.0,37,18,0,1,0,1,direct_bait_or_checkpoint_adoption,1,,
269,item_00270,bundle_0068,59e379ec5f4c,40.0,49,40,0,1,0,1,direct_bait_or_checkpoint_adoption,4,,
133,item_00134,bundle_0034,e56590756a02,2.0,22,2,0,1,0,1,direct_bait_or_checkpoint_adoption,9,,
277,item_00278,bundle_0070,a718db0d85d5,60.0,5,60,0,1,0,1,direct_bait_or_checkpoint_adoption,10,,
389,item_00390,bundle_0098,a995dcd57188,4.0,37,4,0,1,0,1,direct_bait_or_checkpoint_adoption,3,,
413,item_00414,bundle_0104,d64ae2281a30,58.0,47,58,0,1,0,1,direct_bait_or_checkpoint_adoption,4,,
413,item_00414,bundle_0104,d64ae2281a30,58.0,47,58,0,1,0,1,direct_bait_or_checkpoint_adoption,8,,
241,item_00242,bundle_0061,329efecccbce,35.0,47,35,0,1,0,1,direct_bait_or_checkpoint_adoption,2,,
349,item_00350,bundle_0088,a3b62c68088a,46.0,67,46,0,1,0,1,direct_bait_or_checkpoint_adoption,9,,
561,item_00562,bundle_0141,b73a32eaf05d,67.0,77,67,0,1,0,1,direct_bait_or_checkpoint_adoption,1,,
349,item_00350,bundle_0088,a3b62c68088a,46.0,67,46,0,1,0,1,direct_bait_or_checkpoint_adoption,3,,
417,item_00418,bundle_0105,7dbbce602320,44.0,64,44,0,1,0,1,direct_bait_or_checkpoint_adoption,3,,
429,item_00430,bundle_0108,0d0ae37463f0,26.0,44,26,0,1,0,1,direct_bait_or_checkpoint_adoption,1,,
125,item_00126,bundle_0032,daff9875ef96,44.0,72,44,0,1,0,1,direct_bait_or_checkpoint_adoption,6,,
25,item_00026,bundle_0007,c64f577677d7,84.0,21,84,0,1,0,1,direct_bait_or_checkpoint_adoption,5,,
157,item_00158,bundle_0040,6b71ac34782d,72.0,28,72,0,1,0,1,direct_bait_or_checkpoint_adoption,3,,
117,item_00118,bundle_0030,de8aa0af33bc,2.0,62,2,0,1,0,1,direct_bait_or_checkpoint_adoption,11,,
361,item_00362,bundle_0091,bd184b4b4368,25.0,48,25,0,1,0,1,direct_bait_or_checkpoint_adoption,8,,
477,item_00478,bundle_0120,873edf4c896c,68.0,17,68,0,1,0,1,direct_bait_or_checkpoint_adoption,9,,
101,item_00102,bundle_0026,7d13220ba5ff,22.0,7,22,0,1,0,1,direct_bait_or_checkpoint_adoption,9,,
461,item_00462,bundle_0116,e06bf609287a,43.0,75,43,0,1,0,1,direct_bait_or_checkpoint_adoption,3,,
485,item_00486,bundle_0122,09c0579c531f,74.0,23,74,0,1,0,1,direct_bait_or_checkpoint_adoption,2,,
65,item_00066,bundle_0017,f6542e66422e,3.0,82,3,0,1,0,1,direct_bait_or_checkpoint_adoption,1,,
309,item_00310,bundle_0078,dfcdac3bf56c,22.0,54,22,0,1,0,1,direct_bait_or_checkpoint_adoption,2,,
333,item_00334,bundle_0084,7d31df500528,66.0,39,66,0,1,0,1,direct_bait_or_checkpoint_adoption,8,,
305,item_00306,bundle_0077,646cbdb3679f,59.0,77,59,0,1,0,1,direct_bait_or_checkpoint_adoption,3,,
297,item_00298,bundle_0075,48453fa68576,64.0,24,64,0,1,0,1,direct_bait_or_checkpoint_adoption,12,,
533,item_00534,bundle_0134,93d92f6a6e24,29.0,11,29,0,1,0,1,direct_bait_or_checkpoint_adoption,4,,
521,item_00522,bundle_0131,d4d1d5fecb19,88.0,63,88,0,1,0,1,direct_bait_or_checkpoint_adoption,9,,
329,item_00330,bundle_0083,d803f6318c04,55.0,10,55,0,1,0,1,direct_bait_or_checkpoint_adoption,2,,
265,item_00266,bundle_0067,650e233357e0,52.0,62,52,0,1,0,1,direct_bait_or_checkpoint_adoption,1,,
549,item_00550,bundle_0138,7c30d744857c,33.0,7,33,0,1,0,1,direct_bait_or_checkpoint_adoption,2,,
149,item_00150,bundle_0038,3fd881cf9733,52.0,69,52,0,1,0,1,direct_bait_or_checkpoint_adoption,12,,
533,item_00534,bundle_0134,93d92f6a6e24,29.0,11,29,0,1,0,1,direct_bait_or_checkpoint_adoption,8,,
365,item_00366,bundle_0092,bba49930d02f,33.0,24,33,0,1,0,1,direct_bait_or_checkpoint_adoption,8,,
21,item_00022,bundle_0006,4780508ff9cc,65.0,50,65,0,1,0,1,direct_bait_or_checkpoint_adoption,1,,
561,item_00562,bundle_0141,b73a32eaf05d,67.0,77,67,0,1,0,1,direct_bait_or_checkpoint_adoption,9,,
565,item_00566,bundle_0142,d5770095b2d7,72.0,92,72,0,1,0,1,direct_bait_or_checkpoint_adoption,3,,
537,item_00538,bundle_0135,3c4209155187,29.0,81,29,0,1,0,1,direct_bait_or_checkpoint_adoption,3,,
545,item_00546,bundle_0137,6da208f59977,8.0,68,8,0,1,0,1,direct_bait_or_checkpoint_adoption,3,,
489,item_00490,bundle_0123,5aafbdcda0ed,47.0,17,47,0,1,0,1,direct_bait_or_checkpoint_adoption,9,,
377,item_00378,bundle_0095,6123b155a0d8,13.0,59,13,0,1,0,1,direct_bait_or_checkpoint_adoption,1,,
497,item_00498,bundle_0125,5990f0adad49,12.0,33,12,0,1,0,1,direct_bait_or_checkpoint_adoption,3,,
85,item_00086,bundle_0022,0ba882fd0f67,31.0,83,31,0,1,0,1,direct_bait_or_checkpoint_adoption,8,,
561,item_00562,bundle_0141,b73a32eaf05d,67.0,77,67,0,1,0,1,direct_bait_or_checkpoint_adoption,2,,
293,item_00294,bundle_0074,58bb5aadc315,54.0,65,54,0,1,0,1,direct_bait_or_checkpoint_adoption,1,,
465,item_00466,bundle_0117,280ab15278ae,58.0,14,58,0,1,0,1,direct_bait_or_checkpoint_adoption,2,,
29,item_00030,bundle_0008,f76361a70f1e,91.0,65,91,0,1,0,1,direct_bait_or_checkpoint_adoption,4,,
329,item_00330,bundle_0083,d803f6318c04,55.0,10,55,0,1,0,1,direct_bait_or_checkpoint_adoption,8,,
397,item_00398,bundle_0100,6f259f0ccef2,35.0,55,35,0,1,0,1,direct_bait_or_checkpoint_adoption,2,,
29,item_00030,bundle_0008,f76361a70f1e,91.0,65,91,0,1,0,1,direct_bait_or_checkpoint_adoption,13,,
121,item_00122,bundle_0031,2586144cd6e5,22.0,57,22,0,1,0,1,direct_bait_or_checkpoint_adoption,2,,
501,item_00502,bundle_0126,b14499d72254,59.0,85,59,0,1,0,1,direct_bait_or_checkpoint_adoption,9,,
273,item_00274,bundle_0069,d29bbd7d3db7,56.0,17,56,0,1,0,1,direct_bait_or_checkpoint_adoption,2,,
41,item_00042,bundle_0011,4197f41919f9,74.0,11,74,0,1,0,1,direct_bait_or_checkpoint_adoption,1,,
141,item_00142,bundle_0036,42ae89c3abab,12.0,39,12,0,1,0,1,direct_bait_or_checkpoint_adoption,4,,
257,item_00258,bundle_0065,ff280773804f,62.0,50,62,0,1,0,1,direct_bait_or_checkpoint_adoption,12,,
397,item_00398,bundle_0100,6f259f0ccef2,35.0,55,35,0,1,0,1,direct_bait_or_checkpoint_adoption,8,,
145,item_00146,bundle_0037,5851074a901f,57.0,15,57,0,1,0,1,direct_bait_or_checkpoint_adoption,2,,
353,item_00354,bundle_0089,8d471433660b,80.0,49,80,0,1,0,1,direct_bait_or_checkpoint_adoption,3,,
205,item_00206,bundle_0052,daa8b71b114c,41.0,51,41,0,1,0,1,direct_bait_or_checkpoint_adoption,3,,
73,item_00074,bundle_0019,605014d4ccaf,5.0,33,5,0,1,0,1,direct_bait_or_checkpoint_adoption,2,,
457,item_00458,bundle_0115,046a41d9133d,13.0,38,13,0,1,0,1,direct_bait_or_checkpoint_adoption,9,,
413,item_00414,bundle_0104,d64ae2281a30,58.0,47,58,0,1,0,1,direct_bait_or_checkpoint_adoption,9,,
97,item_00098,bundle_0025,4a25460b8bb7,44.0,66,44,0,1,0,1,direct_bait_or_checkpoint_adoption,14,,
513,item_00514,bundle_0129,d317b1e0bcf2,30.0,80,30,0,1,0,1,direct_bait_or_checkpoint_adoption,1,,
49,item_00050,bundle_0013,8638c8723fbb,25.0,54,25,0,1,0,1,direct_bait_or_checkpoint_adoption,3,,
